Question,Answer,Points
If a man plays this instrument  he's probably good at making love,Guitar,5
If a man plays this instrument  he's probably good at making love,Piano,4
If a man plays this instrument  he's probably good at making love,Violin,3
If a man plays this instrument  he's probably good at making love,Sax,2
If a man plays this instrument  he's probably good at making love,Her,1
,,
Name a place you would never take a first date,Strip club,5
Name a place you would never take a first date,Theatre,4
Name a place you would never take a first date,Temple/Church,3
Name a place you would never take a first date,Home,2
Name a place you would never take a first date,Red room,1
,,
First thing you want in your mouth when you wake up,Toothpaste,5
First thing you want in your mouth when you wake up,Water,4
First thing you want in your mouth when you wake up,Coffee/Tea,3
First thing you want in your mouth when you wake up,Dick/,2
First thing you want in your mouth when you wake up,Pussy,2
,,
Name something people tend to fall out of,Love,5
Name something people tend to fall out of,Bed,4
Name something people tend to fall out of,Sleep,3
Name something people tend to fall out of,Balcony,2
Name something people tend to fall out of,Delusion,1
,,
Name hot things,Fire,5
Name hot things,Coffee/Tea,4
Name hot things,My partner,3
Name hot things,Your mom,2
Name hot things,Myself,1
,,
2026 Chief Minister of Tamil Nadu?,Vijay,5
2026 Chief Minister of Tamil Nadu?,Rahul Gandhi,4
2026 Chief Minister of Tamil Nadu?,EPS,3
2026 Chief Minister of Tamil Nadu?,Stalin,2
2026 Chief Minister of Tamil Nadu?,Seeman,1
,,
Reasons to break up,Cheating,5
Reasons to break up,Parents not agreeing,4
Reasons to break up,I have to focus on studies,3
Reasons to break up,I'm Gay/Lesbian,2
Reasons to break up,Caste/Religion,1
,,
Things you can say both in a classroom and in bed,May I come in,5
Things you can say both in a classroom and in bed,Be quiet,4
Things you can say both in a classroom and in bed,Am I doing it right,3
Things you can say both in a classroom and in bed,Can you please slow down,2
Things you can say both in a classroom and in bed,Sir this was not in the syllabus,1
,,
"A word that ends with ""ger""",Nigger,5
"A word that ends with ""ger""",Anger,4
"A word that ends with ""ger""",Danger,3
"A word that ends with ""ger""",Tiger,2
"A word that ends with ""ger""",Singer,1
,,
Things to do in Clock Tower,Take pics,5
Things to do in Clock Tower,Make out,4
Things to do in Clock Tower,Play badminton,3
Things to do in Clock Tower,Birthday celebration,2
Things to do in Clock Tower,Hang out,1
,,
Things you cheat on,Exams/Tests,5
Things you cheat on,Diet,4
Things you cheat on,Games,3
Things you cheat on,Myself,2
Things you cheat on,Partner,1
,,
Things you use your phone for,Texting/Calling,5
Things you use your phone for,Music,4
Things you use your phone for,Games,3
Things you use your phone for,Porn,2
Things you use your phone for,Calculator,1
,,
New year resolution,Fitness,5
New year resolution,Study,4
New year resolution,Move on,3
New year resolution,Stay alive,2
New year resolution,New hobby,1
